Solyc01g067000,Solyc01g008360,Solyc01g005980,Solyc01g006620,Solyc01g006830,Solyc01g008560
Solyc01g067710,Solyc01g008420,Solyc01g006020,Solyc01g007070,Solyc01g008020,Solyc01g009590
Solyc01g073660,Solyc01g008510,Solyc01g006150,Solyc01g008300,Solyc01g008790,Solyc01g010430
Solyc01g073890,Solyc01g008910,Solyc01g006700,Solyc01g008420,Solyc01g010250,Solyc01g010660
Solyc01g079200,Solyc01g008980,Solyc01g006890,Solyc01g008620,Solyc01g010290,Solyc01g057000
Solyc01g079660,Solyc01g009020,Solyc01g006950,Solyc01g008640,Solyc01g010480,Solyc01g058260
Solyc01g080220,Solyc01g009430,Solyc01g007070,Solyc01g008650,Solyc01g010650,Solyc01g065490
Solyc01g081310,Solyc01g009710,Solyc01g007110,Solyc01g008850,Solyc01g010770,Solyc01g065550
Solyc01g086640,Solyc01g009760,Solyc01g007230,Solyc01g009810,Solyc01g011090,Solyc01g066430
Solyc01g086850,Solyc01g009810,Solyc01g007910,Solyc01g010390,Solyc01g014180,Solyc01g067000
Solyc01g086960,Solyc01g009860,Solyc01g008300,Solyc01g010700,Solyc01g014250,Solyc01g067460
Solyc01g087180,Solyc01g010185,Solyc01g008470,Solyc01g010770,Solyc01g014920,Solyc01g067660
Solyc01g087240,Solyc01g010220,Solyc01g008560,Solyc01g058250,Solyc01g044340,Solyc01g068000
Solyc01g088090,Solyc01g010230,Solyc01g009030,Solyc01g059900,Solyc01g049880,Solyc01g073720
Solyc01g088760,Solyc01g010860,Solyc01g009620,Solyc01g060260,Solyc01g050000,Solyc01g073820
Solyc01g090740,Solyc01g011105,Solyc01g009860,Solyc01g065570,Solyc01g056750,Solyc01g073970
Solyc01g091690,Solyc01g014250,Solyc01g010180,Solyc01g065980,Solyc01g056760,Solyc01g079200
Solyc01g094370,Solyc01g014270,Solyc01g010390,Solyc01g068380,Solyc01g058320,Solyc01g079260
Solyc01g095140,Solyc01g014700,Solyc01g010480,Solyc01g073660,Solyc01g058390,Solyc01g079530
Solyc01g095150,Solyc01g017090,Solyc01g010660,Solyc01g079260,Solyc01g065720,Solyc01g079940
Solyc01g095270,Solyc01g020190,Solyc01g010700,Solyc01g080480,Solyc01g065840,Solyc01g080010
Solyc01g095630,Solyc01g021600,Solyc01g010940,Solyc01g080910,Solyc01g066480,Solyc01g081310
Solyc01g096320,Solyc01g021730,Solyc01g011040,Solyc01g081600,Solyc01g067460,Solyc01g086680
Solyc01g096340,Solyc01g044365,Solyc01g011510,Solyc01g086680,Solyc01g067670,Solyc01g086800
Solyc01g096400,Solyc01g044556,Solyc01g014480,Solyc01g087240,Solyc01g067680,Solyc01g087990
Solyc01g096420,Solyc01g049770,Solyc01g014840,Solyc01g087810,Solyc01g067800,Solyc01g090300
Solyc01g096510,Solyc01g050010,Solyc01g056720,Solyc01g087980,Solyc01g068270,Solyc01g090460
Solyc01g096810,Solyc01g056480,Solyc01g057000,Solyc01g088160,Solyc01g068380,Solyc01g090740
Solyc01g098490,Solyc01g057000,Solyc01g057460,Solyc01g090810,Solyc01g068460,Solyc01g091160
Solyc01g099370,Solyc01g057165,Solyc01g057910,Solyc01g091270,Solyc01g079390,Solyc01g091910
Solyc01g100200,Solyc01g057260,Solyc01g059830,Solyc01g094140,Solyc01g079470,Solyc01g094550
