"","Zhongza_9, QZ_006, TOM_EX","Zhongza_9, QZ_006, Micro_TOM","Zhongza_9, TOM_EX, Micro_TOM","QZ_006, TOM_EX, Micro_TOM","Zhongza_9, QZ_006, TOM_EX, Micro_TOM","Zhongza_9, QZ_006, X29_X_Boludo","Zhongza_9, TOM_EX, X29_X_Boludo","QZ_006, TOM_EX, X29_X_Boludo","Zhongza_9, QZ_006, TOM_EX, X29_X_Boludo","Zhongza_9, Micro_TOM, X29_X_Boludo","QZ_006, Micro_TOM, X29_X_Boludo","Zhongza_9, QZ_006, Micro_TOM, X29_X_Boludo","TOM_EX, Micro_TOM, X29_X_Boludo","Zhongza_9, TOM_EX, Micro_TOM, X29_X_Boludo","QZ_006, TOM_EX, Micro_TOM, X29_X_Boludo","Zhongza_9, QZ_006, TOM_EX, Micro_TOM, X29_X_Boludo"
"15","Solyc03g096670","Solyc06g084320","Solyc03g098100","Solyc04g079760","Solyc06g084320","Solyc09g015770","Solyc03g111100","Solyc10g078770","Solyc03g116390","Solyc02g086880","Solyc10g078770","Solyc03g116390","Solyc07g052950","Solyc10g075150","Solyc08g075280","Solyc06g068620"
"16","Solyc03g121880","Solyc07g042230","Solyc05g054570","Solyc02g084850","Solyc07g042230","Solyc08g077900","Solyc02g086880","Solyc08g075280","Solyc06g068620","Solyc12g019740","Solyc08g075280","Solyc06g068620","Solyc12g049290","Solyc11g072470","Solyc06g067980","Solyc09g075890"
"17","Solyc06g050810","Solyc03g111100","Solyc05g008390","Solyc07g017610","Solyc03g111100","Solyc10g078770","Solyc10g075150","Solyc06g067980","Solyc09g075890","Solyc10g075150","Solyc06g067980","Solyc09g075890","Solyc06g068500","Solyc03g019820","Solyc12g098900","Solyc06g067980"
"18","Solyc03g116890","Solyc08g076880","Solyc09g064820","Solyc03g007960","Solyc08g076880","Solyc04g081900","Solyc11g072470","Solyc12g098900","Solyc06g067980","Solyc11g072470","Solyc12g098900","Solyc06g067980","Solyc02g065470","Solyc06g007180","Solyc07g063410","Solyc12g098900"
"19","Solyc06g084320","Solyc02g093890","Solyc03g122120","Solyc01g111440","Solyc02g093890","Solyc03g116390","Solyc02g080110","Solyc07g063410","Solyc12g098900","Solyc02g093180","Solyc07g063410","Solyc12g098900","Solyc07g049440","Solyc12g056250","Solyc08g083130","Solyc07g063410"
"20","Solyc07g042230","Solyc02g079290","Solyc01g112230","Solyc06g061280","Solyc02g079290","Solyc06g068620","Solyc03g019820","Solyc08g083130","Solyc07g063410","Solyc03g019820","Solyc08g083130","Solyc07g063410","Solyc03g111100","Solyc09g065390","Solyc01g096320","Solyc08g083130"
"21","Solyc03g111100","Solyc02g093180","Solyc08g077330","Solyc03g116390","Solyc01g108250","Solyc09g075890","Solyc06g007180","Solyc01g096320","Solyc08g083130","Solyc06g007180","Solyc01g096320","Solyc08g083130","Solyc03g019820","Solyc01g105660","Solyc10g075100","Solyc03g007230"
"22","Solyc08g078070","Solyc01g108250","Solyc02g088620","Solyc05g052980","Solyc03g019820","Solyc02g088090","Solyc12g056250","Solyc10g075100","Solyc03g007230","Solyc12g056250","Solyc10g075100","Solyc03g007230","Solyc04g082830","Solyc03g095650","Solyc12g056410","Solyc01g087180"
"23","Solyc08g076880","Solyc03g019820","Solyc10g080670","Solyc07g056570","Solyc01g111440","Solyc06g067980","Solyc09g065390","Solyc12g056410","Solyc01g087180","Solyc09g065390","Solyc12g056410","Solyc08g076870","Solyc09g065390","Solyc02g069800","Solyc04g081900",NA
"24","Solyc02g093890","Solyc01g111440","Solyc06g062670","Solyc05g015390","Solyc06g066600","Solyc12g098900","Solyc01g105660","Solyc04g081900",NA,"Solyc01g105660","Solyc04g081900","Solyc01g087180","Solyc04g005420","Solyc06g069710","Solyc03g007230",NA
"25","Solyc02g079290","Solyc06g066600","Solyc01g010480","Solyc06g050800","Solyc04g015200","Solyc07g063410","Solyc03g095650","Solyc03g007230",NA,"Solyc03g095650","Solyc03g007230",NA,"Solyc01g105660","Solyc10g078590","Solyc01g087180",NA
"26","Solyc01g108250","Solyc04g015200","Solyc07g024000","Solyc09g064820","Solyc02g083400","Solyc08g083130","Solyc02g069800","Solyc01g087180",NA,"Solyc02g069800","Solyc08g076870",NA,"Solyc02g092120","Solyc01g081310","Solyc03g111100",NA
"27","Solyc03g019820","Solyc02g083400","Solyc11g072660","Solyc02g089720","Solyc02g092715","Solyc03g007230","Solyc06g069710","Solyc03g111100",NA,"Solyc06g069710","Solyc01g087180",NA,"Solyc03g095650","Solyc01g096320",NA,NA
"28","Solyc06g066370","Solyc02g092715","Solyc07g063110","Solyc06g076020","Solyc08g067630","Solyc08g076870","Solyc10g078590",NA,NA,"Solyc10g078590","Solyc03g111100",NA,"Solyc06g066420","Solyc01g108030",NA,NA
"29","Solyc01g111440","Solyc08g067630","Solyc07g040990","Solyc10g008730","Solyc07g062700","Solyc01g087180","Solyc01g081310",NA,NA,"Solyc01g081310",NA,NA,"Solyc05g018760","Solyc04g016420",NA,NA
"30","Solyc06g066600","Solyc07g062700","Solyc06g076750","Solyc10g080670","Solyc01g096320",NA,"Solyc01g096320",NA,NA,"Solyc01g096320",NA,NA,"Solyc08g007160","Solyc09g064940",NA,NA
"31","Solyc04g015200","Solyc01g096320","Solyc04g076340","Solyc11g072660","Solyc06g082010",NA,"Solyc01g108030",NA,NA,"Solyc01g108030",NA,NA,"Solyc11g013100","Solyc08g061240",NA,NA
"32","Solyc02g083400","Solyc06g082010","Solyc02g070020","Solyc07g040990","Solyc06g050130",NA,"Solyc04g016420",NA,NA,"Solyc06g060840",NA,NA,"Solyc03g096780","Solyc04g040180",NA,NA
"33","Solyc02g092715","Solyc06g050130","Solyc11g018690","Solyc06g066600","Solyc06g076670",NA,"Solyc09g064940",NA,NA,"Solyc04g016420",NA,NA,"Solyc10g084600","Solyc01g109170",NA,NA
"34","Solyc08g067630","Solyc06g076670","Solyc11g017010","Solyc10g086410","Solyc02g081560",NA,"Solyc08g061240",NA,NA,"Solyc09g064940",NA,NA,"Solyc08g078820","Solyc06g060910",NA,NA
"35","Solyc08g078060","Solyc02g081560","Solyc10g006540","Solyc04g015200","Solyc01g099810",NA,"Solyc04g040180",NA,NA,"Solyc08g061240",NA,NA,"Solyc01g096320","Solyc03g098090",NA,NA
"36","Solyc07g062700","Solyc01g099810","Solyc02g077780","Solyc06g068620","Solyc07g017610",NA,"Solyc01g109170",NA,NA,"Solyc04g040180",NA,NA,"Solyc01g108030","Solyc02g081560",NA,NA
"37","Solyc01g096320","Solyc07g017610","Solyc05g009520","Solyc06g082440","Solyc05g052980",NA,"Solyc06g060910",NA,NA,"Solyc01g109170",NA,NA,"Solyc04g080170","Solyc01g100460",NA,NA
"38","Solyc06g082010","Solyc05g052980","Solyc07g032740","Solyc02g083400","Solyc07g056570",NA,"Solyc03g098090",NA,NA,"Solyc06g060910",NA,NA,"Solyc02g082450","Solyc06g071890",NA,NA
"39","Solyc06g050130","Solyc07g056570","Solyc02g014860","Solyc09g075890","Solyc06g050800",NA,"Solyc02g081560",NA,NA,"Solyc11g069180",NA,NA,"Solyc09g064940","Solyc07g017610",NA,NA
"40","Solyc06g076670","Solyc06g050800","Solyc08g068850","Solyc02g092715","Solyc05g015390",NA,"Solyc01g096510",NA,NA,"Solyc01g009860",NA,NA,"Solyc08g061240","Solyc03g118820",NA,NA
"41","Solyc02g081560","Solyc05g015390","Solyc03g097120","Solyc08g067630","Solyc10g078770",NA,"Solyc01g100460",NA,NA,"Solyc03g098090",NA,NA,"Solyc01g008300","Solyc03g115930",NA,NA
"42","Solyc01g096510","Solyc10g078770","Solyc08g075280","Solyc10g078770","Solyc07g056320",NA,"Solyc06g071890",NA,NA,"Solyc01g103920",NA,NA,"Solyc09g007520","Solyc06g050800",NA,NA
"43","Solyc01g099810","Solyc07g056320","Solyc02g090820","Solyc07g056320","Solyc03g098240",NA,"Solyc07g017610",NA,NA,"Solyc02g081560",NA,NA,"Solyc03g098090","Solyc04g054760",NA,NA
"44","Solyc04g005670","Solyc03g098240","Solyc08g075710","Solyc08g077680","Solyc02g077980",NA,"Solyc03g118820",NA,NA,"Solyc01g100460",NA,NA,"Solyc05g008880","Solyc03g113270",NA,NA
"45","Solyc07g017610","Solyc02g077980","Solyc01g067710","Solyc08g075280","Solyc04g081900",NA,"Solyc03g115930",NA,NA,"Solyc01g067010",NA,NA,"Solyc03g082550","Solyc08g061480",NA,NA
"46","Solyc09g011860","Solyc04g081900","Solyc08g067410","Solyc02g090820","Solyc07g064900",NA,"Solyc06g050800",NA,NA,"Solyc06g071890",NA,NA,"Solyc06g071890","Solyc10g078770",NA,NA
"47","Solyc05g052980","Solyc07g064900","Solyc01g067000","Solyc07g062700","Solyc04g009960",NA,"Solyc04g054760",NA,NA,"Solyc07g017610",NA,NA,"Solyc09g015820","Solyc06g066680",NA,NA
"48","Solyc07g056570","Solyc04g009960","Solyc02g081170","Solyc06g067980","Solyc08g080540",NA,"Solyc03g113270",NA,NA,"Solyc03g118820",NA,NA,"Solyc04g081530","Solyc02g091930",NA,NA
"49","Solyc06g050800","Solyc08g080540","Solyc01g095140","Solyc12g098900","Solyc01g090740",NA,"Solyc08g061480",NA,NA,"Solyc03g115930",NA,NA,"Solyc06g050800","Solyc05g007770",NA,NA
"50","Solyc05g015390","Solyc01g090740","Solyc03g082690","Solyc09g075140","Solyc04g007980",NA,"Solyc10g078770",NA,NA,"Solyc06g050800",NA,NA,"Solyc01g059930","Solyc04g072640",NA,NA
"51","Solyc06g075780","Solyc04g007980","Solyc08g075370","Solyc04g074730","Solyc12g005910",NA,"Solyc06g066680",NA,NA,"Solyc04g054760",NA,NA,"Solyc04g054760","Solyc05g006980",NA,NA
"52","Solyc10g078770","Solyc12g005910","Solyc03g096670","Solyc08g078510","Solyc03g116390",NA,"Solyc02g091930",NA,NA,"Solyc03g113270",NA,NA,"Solyc02g085800","Solyc04g081900",NA,NA
"53","Solyc07g056320","Solyc03g116390","Solyc03g121880","Solyc07g063410","Solyc06g068620",NA,"Solyc05g007770",NA,NA,"Solyc08g061480",NA,NA,"Solyc06g053700","Solyc03g115850",NA,NA
"54","Solyc02g094030","Solyc06g068620","Solyc03g095710","Solyc03g098240","Solyc09g075890",NA,"Solyc04g072640",NA,NA,"Solyc10g078770",NA,NA,"Solyc06g007580","Solyc10g076250",NA,NA
"55","Solyc03g098240","Solyc09g075890","Solyc01g106000","Solyc08g083130","Solyc06g067980",NA,"Solyc05g006980",NA,NA,"Solyc06g066680",NA,NA,"Solyc12g044930","Solyc09g007790",NA,NA
"56","Solyc02g077980","Solyc03g112297","Solyc02g082900","Solyc01g096320","Solyc12g098900",NA,"Solyc04g081900",NA,NA,"Solyc02g091930",NA,NA,"Solyc10g078770","Solyc04g064870",NA,NA
"57","Solyc01g095150","Solyc06g067980","Solyc04g005380","Solyc02g093050","Solyc09g075140",NA,"Solyc03g115850",NA,NA,"Solyc05g007770",NA,NA,"Solyc05g007770","Solyc03g013440",NA,NA
"58","Solyc04g081900","Solyc12g098900","Solyc06g050810","Solyc07g065930","Solyc07g063410",NA,"Solyc10g076250",NA,NA,"Solyc04g072640",NA,NA,"Solyc01g104780","Solyc03g116390",NA,NA
"59","Solyc07g064900","Solyc09g075140","Solyc06g084320","Solyc07g042550","Solyc08g083130",NA,"Solyc09g007790",NA,NA,"Solyc05g006980",NA,NA,"Solyc12g056410","Solyc12g089220",NA,NA
"60","Solyc04g009960","Solyc07g063410","Solyc08g067960","Solyc10g075100","Solyc07g065930",NA,"Solyc04g064870",NA,NA,"Solyc04g081900",NA,NA,"Solyc04g081900","Solyc06g068620",NA,NA
"61","Solyc08g080540","Solyc08g083130","Solyc07g042230","Solyc06g082010","Solyc07g042550",NA,"Solyc03g013440",NA,NA,"Solyc03g115850",NA,NA,"Solyc04g009500","Solyc02g063520",NA,NA
"62","Solyc01g090740","Solyc07g065930","Solyc07g044990","Solyc02g077980","Solyc07g063470",NA,"Solyc03g116390",NA,NA,"Solyc05g012110",NA,NA,"Solyc03g115850","Solyc09g075890",NA,NA
"63","Solyc04g007980","Solyc07g042550","Solyc03g111100","Solyc12g056410","Solyc11g005380",NA,"Solyc12g089220",NA,NA,"Solyc10g076250",NA,NA,"Solyc06g075650","Solyc08g076860",NA,NA
"64","Solyc12g005910","Solyc07g063470","Solyc04g007900","Solyc10g075090","Solyc03g007230",NA,"Solyc06g068620",NA,NA,"Solyc09g007790",NA,NA,"Solyc04g064870","Solyc06g053220",NA,NA
"65","Solyc10g074790","Solyc11g005380","Solyc02g086880","Solyc07g063470","Solyc01g087180",NA,"Solyc02g063520",NA,NA,"Solyc04g064870",NA,NA,"Solyc11g006720","Solyc07g062970",NA,NA
"66","Solyc03g116390","Solyc03g007230","Solyc04g005860","Solyc01g095140","Solyc01g079600",NA,"Solyc09g075890",NA,NA,"Solyc03g013440",NA,NA,"Solyc03g116390","Solyc06g067980",NA,NA
"67","Solyc06g068620","Solyc08g076870","Solyc05g007220","Solyc03g096670",NA,NA,"Solyc08g076860",NA,NA,"Solyc03g116390",NA,NA,"Solyc12g089220","Solyc10g005040",NA,NA
"68","Solyc09g075890","Solyc01g087180","Solyc08g076880","Solyc03g121880",NA,NA,"Solyc06g053220",NA,NA,"Solyc12g089220",NA,NA,"Solyc08g062340","Solyc12g098900",NA,NA
"69","Solyc06g067980","Solyc01g079600","Solyc05g013060","Solyc02g084980",NA,NA,"Solyc07g062970",NA,NA,"Solyc06g068620",NA,NA,"Solyc04g082210","Solyc07g063410",NA,NA
"70","Solyc12g098900",NA,"Solyc02g092090","Solyc06g050130",NA,NA,"Solyc06g067980",NA,NA,"Solyc02g063520",NA,NA,"Solyc09g074910","Solyc08g083130",NA,NA
"71","Solyc09g075140",NA,"Solyc10g079820","Solyc02g077330",NA,NA,"Solyc10g005040",NA,NA,"Solyc09g075890",NA,NA,"Solyc08g076860","Solyc07g006370",NA,NA
"72","Solyc07g063410",NA,"Solyc11g008800","Solyc04g081900",NA,NA,"Solyc12g098900",NA,NA,"Solyc08g076860",NA,NA,"Solyc03g115860","Solyc02g078840",NA,NA
"73","Solyc08g083130",NA,"Solyc10g075150","Solyc06g050810",NA,NA,"Solyc07g063410",NA,NA,"Solyc06g053220",NA,NA,"Solyc04g080850","Solyc03g007230",NA,NA
"74","Solyc07g065930",NA,"Solyc11g072470","Solyc11g005380",NA,NA,"Solyc08g083130",NA,NA,"Solyc07g062970",NA,NA,"Solyc07g062970","Solyc01g087180",NA,NA
"75","Solyc07g042550",NA,"Solyc03g058970","Solyc03g007230",NA,NA,"Solyc07g006370",NA,NA,"Solyc06g067980",NA,NA,"Solyc06g067980","Solyc12g088190",NA,NA
"76","Solyc07g063470",NA,"Solyc02g093890","Solyc01g087180",NA,NA,"Solyc02g078840",NA,NA,"Solyc10g005040",NA,NA,"Solyc07g063410","Solyc01g091030",NA,NA
"77","Solyc11g005380",NA,"Solyc02g079290","Solyc01g102290",NA,NA,"Solyc05g052470",NA,NA,"Solyc12g098900",NA,NA,"Solyc06g072230",NA,NA,NA
"78","Solyc03g007230",NA,"Solyc11g065920","Solyc06g084320",NA,NA,"Solyc03g007230",NA,NA,"Solyc07g063410",NA,NA,"Solyc08g083130",NA,NA,NA
"79","Solyc01g087180",NA,"Solyc11g069720","Solyc03g098730",NA,NA,"Solyc01g087180",NA,NA,"Solyc08g083130",NA,NA,"Solyc06g072660",NA,NA,NA
"80","Solyc01g079600",NA,"Solyc01g108250","Solyc07g042230",NA,NA,"Solyc12g088190",NA,NA,"Solyc07g006370",NA,NA,"Solyc02g091700",NA,NA,NA
"81","Solyc09g005000",NA,"Solyc04g011767","Solyc03g111100",NA,NA,"Solyc01g091030",NA,NA,"Solyc02g078840",NA,NA,"Solyc02g078840",NA,NA,NA
"82",NA,NA,"Solyc03g019820","Solyc01g107170",NA,NA,NA,NA,NA,"Solyc03g007230",NA,NA,"Solyc03g007230",NA,NA,NA
"83",NA,NA,"Solyc07g014670","Solyc02g069580",NA,NA,NA,NA,NA,"Solyc08g076870",NA,NA,"Solyc12g098190",NA,NA,NA
"84",NA,NA,"Solyc06g007180","Solyc10g081170",NA,NA,NA,NA,NA,"Solyc01g087180",NA,NA,"Solyc01g087180",NA,NA,NA
"85",NA,NA,"Solyc04g072895","Solyc07g064900",NA,NA,NA,NA,NA,"Solyc12g088190",NA,NA,"Solyc12g088190",NA,NA,NA
"86",NA,NA,"Solyc02g062000","Solyc06g076670",NA,NA,NA,NA,NA,"Solyc01g091030",NA,NA,"Solyc11g065740",NA,NA,NA
"87",NA,NA,"Solyc12g038160","Solyc04g009960",NA,NA,NA,NA,NA,NA,NA,NA,"Solyc04g072700",NA,NA,NA
"88",NA,NA,"Solyc12g056250","Solyc08g076880",NA,NA,NA,NA,NA,NA,NA,NA,"Solyc12g013700",NA,NA,NA
"89",NA,NA,"Solyc09g065390","Solyc01g079600",NA,NA,NA,NA,NA,NA,NA,NA,"Solyc10g081980",NA,NA,NA
"90",NA,NA,"Solyc07g053550","Solyc08g080540",NA,NA,NA,NA,NA,NA,NA,NA,"Solyc08g075020",NA,NA,NA
"91",NA,NA,"Solyc06g069150",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Solyc10g084960",NA,NA,NA
"92",NA,NA,"Solyc03g115920",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Solyc10g075070",NA,NA,NA
"93",NA,NA,"Solyc01g111440",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Solyc01g109340",NA,NA,NA
"94",NA,NA,"Solyc01g105660",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Solyc03g098100",NA,NA,NA
"95",NA,NA,"Solyc12g099440",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Solyc09g063090",NA,NA,NA
"96",NA,NA,"Solyc03g095650",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Solyc10g080670",NA,NA,NA
"97",NA,NA,"Solyc01g095460",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Solyc01g088440",NA,NA,NA
"98",NA,NA,"Solyc04g009860",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Solyc08g075280",NA,NA,NA
"99",NA,NA,"Solyc11g010170",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Solyc01g080410",NA,NA,NA
"100",NA,NA,"Solyc02g031860",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Solyc10g005360",NA,NA,NA
"101",NA,NA,"Solyc03g033840",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Solyc01g106000",NA,NA,NA
"102",NA,NA,"Solyc02g069800",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Solyc03g098760",NA,NA,NA
"103",NA,NA,"Solyc06g066600",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Solyc07g044990",NA,NA,NA
"104",NA,NA,"Solyc03g117950",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Solyc02g086880",NA,NA,NA
"105",NA,NA,"Solyc11g066440",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Solyc09g065000",NA,NA,NA
"106",NA,NA,"Solyc04g015200",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Solyc03g112440",NA,NA,NA
"107",NA,NA,"Solyc02g083400",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Solyc10g075150",NA,NA,NA
"108",NA,NA,"Solyc06g069710",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Solyc11g072470",NA,NA,NA
"109",NA,NA,"Solyc10g074880",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Solyc02g090310",NA,NA,NA
"110",NA,NA,"Solyc02g092715",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Solyc07g043320",NA,NA,NA
"111",NA,NA,"Solyc10g078590",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Solyc06g007180",NA,NA,NA
"112",NA,NA,"Solyc02g077970",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Solyc12g056250",NA,NA,NA
"113",NA,NA,"Solyc08g067630",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Solyc06g065370",NA,NA,NA
"114",NA,NA,"Solyc01g081310",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Solyc02g069800",NA,NA,NA
"115",NA,NA,"Solyc01g108087",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Solyc03g116530",NA,NA,NA
"116",NA,NA,"Solyc01g073660",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Solyc06g069710",NA,NA,NA
"117",NA,NA,"Solyc03g111310",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Solyc06g059860",NA,NA,NA
"118",NA,NA,"Solyc01g109920",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Solyc05g025900",NA,NA,NA
"119",NA,NA,"Solyc09g089940",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Solyc10g078590",NA,NA,NA
"120",NA,NA,"Solyc07g062700",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Solyc01g081310",NA,NA,NA
"121",NA,NA,"Solyc10g009020",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Solyc05g051850",NA,NA,NA
"122",NA,NA,"Solyc01g010250",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Solyc01g098400",NA,NA,NA
"123",NA,NA,"Solyc01g096320",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Solyc04g016420",NA,NA,NA
"124",NA,NA,"Solyc01g108030",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Solyc04g040180",NA,NA,NA
"125",NA,NA,"Solyc07g006500",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Solyc01g109170",NA,NA,NA
"126",NA,NA,"Solyc09g082120",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Solyc06g060910",NA,NA,NA
"127",NA,NA,"Solyc06g082010",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Solyc01g073680",NA,NA,NA
"128",NA,NA,"Solyc05g009550",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Solyc07g061720",NA,NA,NA
"129",NA,NA,"Solyc12g010010",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Solyc07g061730",NA,NA,NA
"130",NA,NA,"Solyc12g014100",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Solyc08g007240",NA,NA,NA
"131",NA,NA,"Solyc03g114580",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Solyc03g046380",NA,NA,NA
"132",NA,NA,"Solyc01g087240",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Solyc02g081560",NA,NA,NA
"133",NA,NA,"Solyc04g016420",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Solyc01g100460",NA,NA,NA
"134",NA,NA,"Solyc09g064940",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Solyc01g066570",NA,NA,NA
