name,ID
,Solyc01g107220.2
,Solyc10g085300.1
,Solyc09g064870.2
,Solyc05g052890.2
,Solyc06g071830.2
,Solyc07g008240.2
,Solyc11g005840.1
,Solyc02g067610.1
,Solyc01g086650.2
,Solyc01g099340.2
,XM_004246177.1
,Solyc02g065780.1
,Solyc01g099210.2
,Solyc03g121230.2
,Solyc01g073670.2
,Solyc10g050510.1
,Solyc08g075470.2
,Solyc07g008230.1
,Solyc04g054930.2
,Solyc06g050500.2
,XR_182355.1
,Solyc01g073830.1
,Solyc09g091950.1
,XM_004231324.1
,Solyc02g094190.2
,Solyc03g113350.2
,XM_004242812.1
,Solyc03g114350.1
,Solyc03g115710.1
,Solyc11g005190.1
,FOXG_14760T0
,Solyc02g065190.2
,Solyc03g097150.2
,Solyc06g066710.1
,Solyc10g008650.1
,Solyc03g096420.1
,Solyc11g005420.1
,Solyc05g005490.2
,Solyc11g013810.1
,Solyc09g075870.1
,Solyc04g009870.1
,Solyc05g006740.2
,Solyc08g080360.2
,Solyc00g014840.1
,Solyc02g072220.1
,Solyc08g066660.1
,Solyc04g051270.1
,Solyc06g072460.1
,Solyc01g097690.2
,Solyc08g079490.2
,Solyc02g088820.2
,Solyc12g100100.1
,Solyc10g086710.1
,Solyc03g095310.2
,Solyc06g062960.1
,Solyc03g112240.1
,Solyc05g050420.1
,Solyc08g006310.2
,Solyc07g042510.2
,Solyc12g087840.1
,Solyc01g109150.2
,Solyc12g049150.1
,Solyc12g017340.1
,Solyc12g098320.1
,Solyc03g121340.1
,Solyc01g099970.2
,Solyc07g063770.2
,Solyc06g065210.2
,Solyc11g010470.1
,Solyc09g075540.1
,XM_004243500.1
,XM_004235128.1
,Solyc01g094790.2
,Solyc03g083320.2
,Solyc12g042840.1
,Solyc02g069200.1
,Solyc07g065980.2
,Solyc05g052300.2
,Solyc02g076830.1
,Solyc05g046000.2
,Solyc09g066310.2
,Solyc12g100090.1
,Solyc04g008940.2
,Solyc11g072560.1
,Solyc01g087440.2
,XM_004249177.1
,Solyc01g006840.2
,Solyc01g079150.2
,Solyc05g011940.2
,Solyc03g031760.2
,Solyc00g020840.2
,Solyc12g094390.1
,Solyc10g008350.2
,Solyc09g090210.2
,Solyc02g030220.1
,Solyc04g078860.2
