name,SPOT_ID
,Solyc04g078870.2
,Solyc09g091840.2
,XM_004228374.1
,Solyc01g010290.2
,Solyc11g007530.1
,Solyc02g083900.2
,Solyc04g082060.2
,XM_004241198.1
,Solyc03g019650.2
,Solyc11g007160.1
,Solyc09g055940.2
,Solyc10g080610.1
,Solyc03g078310.1
,Solyc10g047120.1
,Solyc07g063870.2
,Solyc03g098240.2
,Solyc03g082720.2
,Solyc06g076520.1
,Solyc09g083110.1
,Solyc07g006970.2
,XM_004246226.1
,Solyc11g066290.1
,XM_004237937.1
,Solyc12g042950.1
,Solyc11g065920.1
,Solyc02g078390.2
,XM_004239445.1
,Solyc09g009530.2
,Solyc11g033270.1
,XM_004252354.1
,Solyc03g116470.1
,Solyc09g089520.2
,Solyc07g043310.2
,Solyc09g065390.1
,Solyc04g049680.2
,Solyc10g079150.1
,Solyc11g044560.1
,Solyc07g042550.2
,XM_004242854.1
,Solyc08g029360.2
,Solyc01g067460.1
,Solyc02g068730.2
,Solyc07g044810.2
,Solyc06g063090.2
,Solyc07g065220.1
,Solyc11g007500.1
,Solyc06g035870.2
,Solyc12g006480.1
,Solyc11g010910.1
,XM_004245114.1
,Solyc04g008110.2
,Solyc01g096430.2
,Solyc03g119320.1
,Solyc09g009190.2
,Solyc02g077770.2
,Solyc02g086600.2
,Solyc02g090130.2
,Solyc06g064490.2
,Solyc11g030700.1
,Solyc06g066460.2
,Solyc02g078020.2
,Solyc08g079840.1
,XM_004244708.1
,Solyc10g086650.1
,Solyc07g053710.2
,Solyc10g086380.1
,Solyc01g010770.2
,Solyc05g007770.2
,Solyc02g093890.1
,Solyc07g066020.2
,Solyc06g051020.2
,XM_004239238.1
,Solyc12g094450.1
,Solyc11g010370.1
,Solyc07g005850.1
,Solyc04g063210.2
,Solyc03g097830.2
,Solyc07g045470.1
,Solyc10g054110.1
,Solyc11g011180.1
,Solyc01g101070.2
,Solyc09g091000.2
,Solyc02g092090.1
,XM_004245609.1
,Solyc11g069180.1
,XM_004250788.1
,Solyc02g091860.2
,Solyc02g070550.2
,Solyc04g079900.2
,Solyc04g016550.2
,Solyc05g055160.2
,Solyc06g050130.2
,Solyc07g008760.2
,Solyc00g187050.2
,XM_004242851.1
,Solyc12g013920.1
,Solyc12g088670.1
,Solyc06g068600.2
,Solyc07g007120.2
,Solyc11g018620.1
,Solyc06g054250.2
,Solyc06g016770.2
,Solyc09g009060.1
,Solyc10g051390.1
,Solyc02g071870.2
,Solyc09g009430.2
,Solyc10g008640.2
,Solyc10g008500.2
,Solyc12g014350.1
,Solyc06g065370.2
,Solyc11g069330.1
,Solyc06g009350.2
,Solyc08g075520.2
,Solyc04g007210.2
,Solyc07g063530.2
,Solyc01g099800.2
,Solyc11g005820.1
,Solyc06g069150.1
,Solyc10g045490.1
,XM_004238418.1
,Solyc03g025700.1
,XM_004237212.1
,Solyc07g048040.1
,Solyc04g005060.2
,Solyc01g102660.2
,Solyc08g023580.2
,Solyc06g031680.2
,Solyc02g093470.2
,Solyc02g030230.2
,Solyc11g065340.1
,Solyc04g005800.2
,Solyc07g040990.2
,Solyc09g042250.1
,Solyc02g071280.2
,Solyc10g085950.1
,Solyc06g054420.2
,Solyc06g074720.2
,Solyc11g070160.1
,Solyc09g092430.2
,Solyc09g009060.1
,Solyc10g049860.1
,Solyc03g062910.2
,Solyc05g008810.2
,Solyc01g011090.2
,XM_004252090.1
,XR_182644.1
,Solyc05g014970.2
,Solyc02g077430.2
,Solyc11g007830.1
,XR_183147.1
,Solyc09g059270.2
,XM_004236351.1
,Solyc12g010290.1
,Solyc05g008290.2
,Solyc09g065620.2
,Solyc08g042060.1
,Solyc04g064720.2
,Solyc00g027770.2
,Solyc06g069480.2
,Solyc02g064610.2
,Solyc11g066020.1
,Solyc07g062820.1
,Solyc01g100950.2
,Solyc05g009470.2
