GeneID,GSM4462432,GSM4462433,GSM4462434,GSM4462435,GSM4462436,GSM4462437,GSM4462438,GSM4462439,GSM4462440
100134887,31.24148819,28.20359408,30.05721355,34.64153386,31.48742226,30.64557109,27.34472577,28.06254547,26.87071028
100134888,7.350938398,25.38323467,8.197421876,111.0918155,100.5175403,101.0168825,12.81784021,8.418763641,12.5396648
100134889,0,0,0,9.556285202,13.32160172,9.080169213,11.96331753,9.354181824,13.43535514
100134890,0,0,0,21.50164171,21.79898464,23.83544418,6.836181443,8.418763641,13.43535514
100134891,28.48488629,17.86227625,24.59226563,5.972678251,4.844218809,6.81012691,13.67236289,12.16043637,10.74828411
100134892,5.513203798,5.640718815,6.37577257,4.778142601,6.055273511,5.675105758,6.836181443,7.483345459,8.956903426
100134893,113.0206779,125.0359337,120.2288542,136.1770641,153.8039472,143.0126651,93.99749485,107.573091,107.4828411
100134894,39.51129389,28.20359408,31.87886285,82.42295987,118.6833608,94.20675558,20.50854433,8.418763641,17.91380685
100134896,99.23766837,231.2694714,157.5726649,16.7234991,12.11054702,13.62025382,41.87161134,49.57716367,43.88882679
100134897,54.21317068,33.84431289,38.25463542,132.5934572,123.5275796,115.7721575,21.36306701,24.32087274,20.60087788
100134900,3.675469199,6.580838618,4.554123264,7.167213902,9.688437617,9.080169213,18.79949897,11.22501819,14.33104548
100134901,22.97168249,25.38323467,20.94896702,20.30710605,18.16582053,17.02531727,18.79949897,22.45003638,20.60087788
100134902,44.10563039,45.12575052,43.71958334,56.14317556,59.34168041,59.02109988,182.0133309,211.4045092,222.131205
100134903,19.29621329,17.86227625,17.3056684,33.44699821,23.01003934,20.43038073,17.94497629,18.70836365,20.60087788
100134904,3.675469199,3.76047921,3.643298612,8.361749552,6.055273511,5.675105758,14.52688557,10.28960001,8.061213084
100134905,4.594336498,7.52095842,5.464947917,23.89071301,29.06531285,21.56540188,40.16256598,30.86880002,35.82761371
100134908,20.21508059,26.32335447,18.21649306,28.66885561,26.64320345,38.59071915,13.67236289,13.09585455,11.64397445
100134910,17.45847869,20.68263566,15.4840191,31.05792691,26.64320345,27.24050764,7.690704124,6.547927277,5.374142056
100134911,33.99809009,143.8383298,36.43298612,698.8033554,816.2508693,793.379785,21.36306701,32.73963638,25.97501994
100134913,10.1075403,6.580838618,10.01907118,1.19453565,2.422109404,2.270042303,5.127136082,3.741672729,2.687071028
100134914,3.675469199,2.820359408,2.732473959,1.19453565,1.211054702,1.135021152,6.836181443,6.547927277,7.165522741
100134915,0.9188673,3.76047921,1.821649306,5.972678251,6.055273511,5.675105758,1.709045361,0.935418182,0.895690343
100135703,13.7830095,11.28143763,10.92989583,43.00328341,44.80902398,43.13080376,224.7394649,297.462982,310.8045489
100135704,14.7018768,11.28143763,12.75154514,9.556285202,9.688437617,9.080169213,23.07211237,22.45003638,20.60087788
100136876,11.9452749,12.22155743,10.01907118,4.778142601,4.844218809,4.540084606,4.272613402,5.612509094,5.374142056
100136877,22.05281519,16.92215645,19.12731771,8.361749552,6.055273511,6.81012691,24.78115773,25.25629092,21.49656822
100136886,6.432071098,4.700599013,6.37577257,121.8426363,134.4270719,111.2320729,88.01583608,130.0231273,103.9000797
100136887,3.675469199,6.580838618,3.643298612,16.7234991,16.95476583,24.97046534,6.836181443,6.547927277,10.74828411
100147714,31.24148819,23.50299506,29.14638889,25.08524866,19.37687523,21.56540188,23.07211237,26.19170911,23.28794891
100147715,4.594336498,6.580838618,5.464947917,28.66885561,30.27636755,30.64557109,6.836181443,7.483345459,6.269832399
