GeneID,GSM4618825,GSM4618826,GSM4618827,GSM4618828,GSM4618830
Solyc09g009710.4.1,134.384164,126.9943384,85.62011101,90.69147282,67.33827679
Solyc01g010365.1.1,0,0,0,1.209219638,3.258303716
Solyc12g005060.1.1,631.4751009,809.3369344,762.9135265,1790.854283,1258.791335
Solyc04g076230.3.1,3277.407962,3312.939606,3075.934436,2503.08465,2235.196349
Solyc03g098420.3.1,10.43760497,13.10259047,10.22329684,0,0
Solyc05g012340.4.1,705.8430363,772.0449461,628.7327555,533.2658602,411.6323694
Solyc01g087600.3.1,750.2028575,843.6052479,546.9463808,679.5814363,594.0973775
Solyc05g051660.1.1,1855.284284,2486.468514,2644.000145,2899.708691,3520.054114
Solyc11g008640.1.1,0,2.015783149,0,20.55673384,69.51047926
Solyc08g066840.3.1,3706.654466,4891.297811,4479.081927,5775.232989,4614.844162
Solyc02g067190.4.1,0,0,0,6.046098188,6.516607431
Solyc02g087520.3.1,174.8298833,153.1995193,163.5727494,30.23049094,99.92131394
Solyc02g093680.3.1,2448.923067,2419.94767,2590.327836,3829.598592,2962.884179
Solyc08g042080.3.1,1527.804428,1665.036881,1357.142655,675.9537774,747.2376521
Solyc07g065990.1.1,36.53161741,42.33144613,44.72692366,101.5744496,71.68268174
Solyc04g017750.4.1,87.41494165,89.70235013,98.39923206,193.475142,145.537566
Solyc02g080410.3.1,4720.406849,4626.222327,5732.713701,5066.630282,6745.774792
Solyc03g111030.3.1,288.3388374,333.6121112,215.9671457,135.4325994,134.6765536
Solyc02g070790.3.1,2716.386694,2922.885566,2420.365526,1217.684175,1646.529478
Solyc06g008750.1.1,28.70341368,12.09469889,61.33978102,70.13473898,154.2263759
Solyc10g007780.3.1,140.9076671,165.2942182,138.0145073,81.01771572,147.7097684
Solyc01g068075.1.1,53.49272549,75.59186809,102.2329684,238.2162686,169.4317932
Solyc09g057900.3.1,0,2.015783149,0,0,0
Solyc04g009400.4.1,66.53973171,47.370904,28.1140663,64.08864079,58.64946688
