GeneID,GSM7413358,GSM7413360,GSM7413364,GSM7413365,GSM7413366,GSM7413367,GSM7413369,GSM7413370,GSM7413371,GSM7413372,GSM7413373,GSM7413374,GSM7413375
101263732,2976.499842,1622.359216,1611.330676,1446.954109,2179.765721,698.3251407,316.2243593,1359.923382,931.742985,1254.133342,642.636912,769.4628732,1688.917951
544299,2152.497061,1697.749475,1738.064549,1547.158687,2238.75938,1007.922547,426.902885,1362.91661,1012.678287,1153.645046,708.3951076,852.2973978,1438.038873
543978,2620.388196,1608.651896,1162.732997,963.9680419,1555.83278,859.5531831,475.32474,1642.284583,1231.795811,1401.910248,850.8711982,978.0461942,1682.896853
101267774,1091.086516,926.2231856,1341.769739,797.6284422,1890.796779,246.2931445,363.6580132,1194.298084,1002.808128,1262.014777,1365.977064,1312.378312,1783.248484
544227,976.3394296,1322.756368,1132.558265,1276.606326,1270.863409,1301.693888,823.1715352,1067.584753,1152.834541,998.9718844,1144.790406,1437.129102,1167.089469
543803,3547.267674,1126.937512,1642.511232,524.0699438,2067.777757,1639.976039,386.386639,2445.467505,1187.380096,1973.314285,401.523528,859.2834421,2491.730999
101249787,2604.561011,1798.596186,852.9390843,454.9287849,908.9023119,1098.922424,687.7879814,2492.361415,1868.421049,2113.209756,1265.347098,1629.744322,2511.801325
101259494,2928.02909,1878.881917,1693.808276,1316.688157,2189.764646,956.4878343,468.4073322,1247.17845,918.9117786,1160.541302,649.6112661,831.3392651,1355.750536
101255222,2785.584431,1938.606667,874.0613965,749.5302447,1211.869749,959.4552216,382.4338345,1506.591568,1247.588065,1477.76906,604.7761327,851.2993915,1730.062119
101055519,1858.704953,1440.247681,1167.762119,706.442276,1272.863194,1193.878817,899.2630217,2208.004728,1967.122637,2366.400854,1346.050338,1287.428154,1693.935532
101243766,2178.216235,1775.097923,405.3472299,377.7712597,662.928749,631.0643622,393.3040468,2032.402002,1543.692827,1775.293231,804.0433922,926.1498656,1792.280131
101256127,144.4230565,366.1812594,133.7746441,1219.489716,150.9837724,1845.71489,889.3810104,1255.160392,2037.200764,1670.864217,578.8713889,937.1279351,404.4170732
101258049,3048.71137,1743.766906,1583.167593,1174.397656,2107.773458,834.8249557,234.2036661,1168.356772,902.1325088,880.7503597,434.4026258,675.6502791,1221.27935
100736441,375.8956264,892.9339802,441.556908,588.2008738,345.9628162,2116.736262,1230.310398,1482.645741,1730.238827,1647.219912,1592.145404,1065.87075,916.2103915
544034,32.64356756,136.0941044,277.6075321,561.1456377,213.9770019,1076.172455,547.463422,2076.302684,2110.239938,1913.218343,1313.17124,1271.460053,958.3580766
544149,114.747086,170.3624041,38.22132689,206.421431,48.99473409,147.3802351,272.7435099,23.94582624,1269.302414,115.2659867,2620.364463,2485.035738,546.9163893
101260830,2418.591596,1245.40792,462.6792202,192.3927901,579.9376688,760.6402736,600.8262826,2450.456219,1941.460224,2133.898522,1350.035683,1688.626695,2459.618477
101250809,765.640039,1217.014186,968.6088893,897.8330203,850.9085451,1189.922301,988.2011227,1350.943697,1170.600826,1073.845517,1134.827043,1117.767079,1002.512794
101253628,2018.955193,1419.686701,946.4807527,593.2111027,1203.870609,614.2491676,437.7730974,1575.435818,1145.92543,1460.035831,894.7099953,930.1418909,1531.36589
101263969,2223.71939,1669.355741,170.9901466,132.2700432,222.9760347,500.4993218,446.6669075,1765.006943,1509.147271,1662.982782,990.3582799,1253.495939,2253.897634
100191110,1783.525827,1390.313873,831.816772,575.1742787,960.8967236,1001.987773,741.150842,1736.072402,1522.965493,1823.56702,996.3362977,1032.936542,1528.355341
101255322,2680.729336,1371.711081,1047.063192,500.020845,1215.869319,623.1513295,518.8055894,1507.58931,1126.185112,1228.518678,1192.614548,1186.629515,2083.299861
101243864,2131.723881,1239.533354,1077.237924,717.4647796,1345.855349,695.3577534,504.9707737,1351.94144,1206.133398,1267.925853,835.9261537,993.0162891,1565.485444
101262262,152.3366486,200.7143267,2968.18778,3273.683569,2673.712632,326.4126012,195.6638223,126.7133305,101.662635,102.4586548,188.3075603,244.5115486,209.7349089
543585,1615.361995,1493.118772,554.2092399,341.6976115,630.9321879,930.7704779,730.2806297,1753.034029,1649.303525,2070.847042,1160.731787,1115.771066,1493.23227
101248825,1024.810181,1489.202395,896.1895331,829.6939072,750.9192918,834.8249557,781.6670881,746.3115845,905.0935564,818.6840591,790.0946841,982.0382195,842.9537009
101261284,2125.788687,1369.752893,1248.22807,730.4913748,1456.84342,739.8685626,503.9825726,1352.939183,1044.262795,1161.526481,949.5084917,983.0362258,1488.214689
