GeneID,GSM4618825,GSM4618826,GSM4618827,GSM4618828,GSM4618829,GSM4618830
Solyc01g005710.2.1,7,15,20,4,5,0
Solyc05g041280.1.1,0,0,0,0,0,0
Solyc04g047880.1.1,0,0,0,0,0,0
Solyc04g081530.1.1,1070,935,1421,2609,4739,7712
Solyc11g068520.3.1,1965,2466,1954,912,1332,1555
Solyc08g079630.3.1,444,597,545,899,746,897
Solyc03g083100.3.1,3586,4084,2931,952,967,1501
Solyc03g034440.2.1,1180,1297,862,982,554,919
Solyc09g005120.3.1,70,91,53,106,75,136
Solyc12g035490.1.1,51,34,32,11,0,9
Solyc12g056930.2.1,282,506,323,324,226,301
Solyc02g082670.3.1,247,451,245,511,193,352
Solyc06g074760.2.1,12,9,16,65,26,42
Solyc10g047480.1.1,0,0,0,0,0,0
Solyc05g052770.1.1,2,0,0,1,0,0
Solyc04g024710.4.1,512,592,485,370,429,658
Solyc08g016720.1.1,37,66,39,92,14,81
Solyc10g054970.1.1,0,0,0,0,0,0
Solyc06g036260.3.1,12762,16456,12050,7607,10404,11434
Solyc10g051340.2.1,4807,6161,4506,3104,2569,3218
Solyc01g097550.4.1,0,2,2,0,0,0
Solyc03g033660.4.1,71,91,99,82,137,125
Solyc05g041750.1.1,20,27,40,15,25,23
Solyc02g091100.3.1,1686,2011,2022,1350,921,1466
Solyc01g103480.3.1,2570,2605,1692,1376,701,1094
Solyc04g076020.3.1,408,444,283,267,143,253
Solyc10g006540.4.1,844,934,733,138,142,240
Solyc07g063710.2.1,34,22,18,12,0,10
Solyc11g013330.3.1,131,127,201,282,482,585
Solyc11g005660.2.1,44,48,55,22,24,32
Solyc05g026510.4.1,212,255,179,376,211,351
Solyc09g075950.1.1,16,40,10,9,6,20
Solyc06g034025.1.1,0,0,0,0,0,0
Solyc06g016750.3.1,63,88,63,136,98,141
Solyc02g082430.4.1,749,1043,950,735,545,760
Solyc03g098400.2.1,0,0,0,0,2,0
Solyc12g049540.3.1,188,149,117,58,95,90
Solyc12g011233.1.1,0,0,0,0,0,0
Solyc06g063310.2.1,5415,8095,7599,10945,10009,11432
Solyc02g091670.1.1,398,450,406,333,247,763
Solyc01g015060.1.1,0,0,0,0,0,0
Solyc10g005335.1.1,10,11,9,0,0,2
Solyc02g089400.4.1,1111,1324,1492,2085,1515,2461
Solyc02g091330.4.1,317,387,274,450,255,325
Solyc09g007360.3.1,176,166,63,57,21,67
Solyc04g026340.2.1,0,0,0,0,0,0
Solyc11g009040.3.1,0,6,4,7,6,4
Solyc05g006880.1.1,132,93,102,75,57,102
Solyc10g008110.4.1,1039,1074,787,728,386,699
Solyc08g065540.3.1,4,0,2,2,0,0
Solyc04g078950.1.1,32,35,24,20,22,35
Solyc05g053155.1.1,0,4,0,0,0,1
Solyc01g006360.4.1,104,71,36,11,23,16
Solyc07g017805.1.1,0,0,0,3,0,0
Solyc07g049460.3.1,48,85,54,94,68,54
Solyc02g071383.1.1,0,0,0,0,0,0
Solyc06g007810.1.1,8,10,6,17,12,18
Solyc12g019977.1.1,9,2,3,1,2,2
Solyc01g088060.3.1,52,46,41,70,71,66
Solyc09g092145.1.1,0,0,0,0,0,0
Solyc07g009540.1.1,0,0,0,0,0,0
Solyc11g042450.1.1,0,0,0,0,0,0
Solyc06g083710.3.1,6,6,15,11,4,10
Solyc08g023500.4.1,689,810,485,443,340,457
Solyc12g033040.1.1,0,0,0,0,0,0
Solyc02g082790.2.1,0,0,0,0,0,0
Solyc00g500066.1.1,0,0,0,0,0,0
Solyc09g010250.1.1,0,0,0,0,0,0
Solyc08g150146.1.1,31,27,28,8,2,4
Solyc01g150158.1.1,1,0,0,0,0,0
Solyc11g030553.1.1,2,0,0,0,0,0
Solyc06g073870.4.1,1800,2835,2504,4526,3354,4149
Solyc09g098425.1.1,62,67,53,73,85,98
Solyc03g081330.1.1,91,95,127,91,78,210
Solyc03g110980.4.1,225,413,397,633,357,484
Solyc04g054147.1.1,0,0,0,0,0,0
Solyc01g088610.4.1,15360,29352,17628,23547,21123,26612
Solyc02g050280.4.1,303,298,209,306,142,239
Solyc10g038020.2.1,0,0,0,0,0,0
Solyc02g032660.3.1,514,676,1191,2728,1494,1752
Solyc04g077740.1.1,2,4,8,6,2,6
Solyc01g091410.3.1,0,0,2,0,0,0
Solyc03g065250.4.1,6436,7894,6494,9531,3955,7511
Solyc04g011560.4.1,1000,1011,1117,366,502,705
Solyc04g014550.3.1,0,4,0,4,0,4
Solyc04g051293.1.1,0,0,0,0,0,0
Solyc03g114090.1.1,76,140,103,224,237,171
Solyc08g066625.1.1,0,0,0,0,0,0
Solyc09g005580.4.1,1126,1400,1477,2449,1360,1664
Solyc01g091270.3.1,71,84,34,67,42,54
Solyc00g284510.1.1,0,0,0,0,0,0
Solyc04g025730.1.1,0,0,0,0,0,0
Solyc10g052880.1.1,2119,1975,1913,1027,1142,1830
Solyc02g021590.3.1,1110,1205,749,299,218,299
Solyc11g042640.2.1,20037,25067,20463,7139,8139,9478
Solyc09g009930.2.1,0,0,0,0,0,0
Solyc03g119630.4.1,93,81,82,221,159,302
Solyc07g009587.1.1,0,0,0,0,0,0
Solyc05g006820.4.1,574,792,595,527,680,871
Solyc01g096500.3.1,1524,1480,965,517,382,560
Solyc05g006800.2.1,56,117,88,180,40,131
Solyc01g103040.4.1,77,95,71,202,82,150
Solyc10g044690.3.1,0,0,0,0,0,0
Solyc01g074030.3.1,9377,16976,11327,16423,12812,13885
Solyc01g108490.3.1,4834,5913,7066,9972,6500,9419
Solyc02g032663.1.1,0,0,0,0,0,0
Solyc09g082370.4.1,292,330,209,69,78,66
Solyc11g005970.1.1,4,10,0,2,0,0
Solyc04g082475.1.1,2,2,2,4,2,9
Solyc09g090340.3.1,280,460,246,183,112,189
Solyc03g031790.1.1,2995,3962,3558,3531,2592,3479
Solyc02g067280.1.1,0,0,2,0,5,7
Solyc02g090810.4.1,14,8,13,36,15,22
Solyc03g007485.1.1,727,945,536,225,242,363
Solyc03g006730.3.1,0,0,0,1,0,2
Solyc09g061500.2.1,0,0,0,0,0,0
Solyc02g092170.1.1,0,0,0,0,0,0
Solyc09g008930.4.1,403,380,319,374,266,505
Solyc12g150130.1.1,0,0,0,0,0,0
Solyc11g005600.2.1,975,988,895,822,423,656
Solyc12g008450.2.1,200,234,186,252,136,298
Solyc05g046280.3.1,10,8,4,2,1,0
Solyc11g007510.2.1,297,172,122,64,54,64
Solyc01g067930.4.1,1744,2416,2019,1259,1322,1877
Solyc08g076100.4.1,777,844,804,405,324,479
Solyc04g051470.1.1,106,187,291,694,472,791
Solyc08g023345.1.1,0,0,0,0,0,0
Solyc11g072210.1.1,0,0,0,0,0,0
Solyc03g044746.1.1,0,2,0,3,0,2
Solyc06g084290.3.1,707,795,677,1107,796,1186
Solyc02g063340.1.1,0,0,0,0,0,0
Solyc12g005510.3.1,0,0,0,0,0,0
Solyc02g066830.4.1,70,50,38,61,19,54
Solyc01g102320.2.1,0,0,0,0,0,0
Solyc12g036475.1.1,0,0,0,0,0,0
Solyc02g077410.3.1,4944,6063,5909,6636,4827,7429
Solyc10g078760.2.1,0,0,0,0,0,0
Solyc09g059610.3.1,0,0,0,0,0,0
Solyc09g076057.1.1,0,0,0,0,0,0
Solyc11g013120.2.1,639,1029,847,1680,1001,1349
Solyc08g080453.1.1,0,0,0,0,0,0
Solyc00g500004.1.1,0,0,0,0,0,0
Solyc07g150108.1.1,0,0,0,0,0,0
Solyc06g051420.3.1,998,1150,1006,561,535,806
