id,GSM4618825,GSM4618826,GSM4618827,GSM4618828,GSM4618829,GSM4618830,GSM4618831,GSM4618832,GSM4618833,GSM4618834,GSM4618835,GSM4618836
Solyc04g005910.3.1,60,111,94,124,68,150,223,106,153,150,238,221
Solyc08g077740.1.1,16,2,0,6,10,12,14,0,12,26,27,20
Solyc02g005200.4.1,7333,10775,8381,13212,11852,16085,16199,17702,15093,10761,10550,12509
Solyc05g006570.1.1,121,199,106,101,77,145,164,122,133,98,108,130
Solyc08g074680.3.1,0,0,0,0,0,0,0,0,0,0,0,0
Solyc12g017670.3.1,0,0,0,0,0,0,0,0,0,0,0,0
Solyc04g005330.3.1,2237,2503,1976,1325,883,1557,4139,3112,3074,4593,4472,4566
Solyc03g119070.2.1,12,17,4,4,2,8,0,0,4,8,8,4
Solyc01g073960.4.1,1559,1508,1266,643,523,794,2186,1747,1577,2887,2735,2559
Solyc06g060650.1.1,0,0,0,0,0,0,0,0,0,0,0,0
Solyc10g045150.1.1,0,0,0,0,0,0,0,0,0,0,0,1
Solyc08g007280.2.1,16,11,11,17,14,11,25,8,33,63,57,37
Solyc09g007320.4.1,913,983,529,346,202,292,3814,2030,2266,4110,5193,3527
Solyc04g051235.1.1,0,0,0,0,0,0,0,0,0,0,0,0
Solyc09g018620.1.1,0,0,0,0,0,0,0,0,0,0,0,0
Solyc10g086300.1.1,0,0,0,0,1,0,0,0,0,2,0,0
Solyc04g009600.3.1,18,22,10,12,2,6,18,14,19,24,67,19
Solyc12g009840.2.1,432,614,311,122,78,155,937,675,617,1007,1012,950
Solyc01g010700.3.1,475,655,450,700,283,493,1671,1011,1612,1173,1315,943
Solyc02g089210.4.1,45,50,33,71,116,229,514,669,563,482,245,397
Solyc00g500325.1.1,0,0,0,0,0,0,0,0,0,0,0,0
Solyc09g056430.4.1,20,14,17,30,10,20,56,35,40,60,40,42
Solyc03g114900.3.1,28,12,34,14,14,23,24,14,12,32,12,10
Solyc04g053040.3.1,0,0,0,0,0,2,0,0,0,0,0,0
Solyc01g059870.4.1,1315,1862,944,1027,679,977,2286,1136,1771,3713,4931,2851
Solyc09g063140.4.1,2983,4138,3498,3935,4972,4903,4577,5217,4345,3536,3590,4152
Solyc10g055770.2.1,96,91,75,74,50,56,74,61,71,68,58,77
Solyc12g042870.1.1,0,0,0,0,0,0,0,0,0,0,0,0
Solyc12g006820.1.1,0,0,0,0,0,0,0,0,0,4,2,2
Solyc07g009060.4.1,0,0,2,47,0,0,2,0,0,0,0,0
Solyc01g103580.3.1,181,234,201,224,125,365,301,251,259,209,222,199
Solyc03g083485.1.1,0,0,0,0,0,0,0,0,0,0,0,0
Solyc01g107860.3.1,1085,1187,963,1686,462,724,2226,1766,1393,1710,1408,1670
Solyc02g032527.1.1,0,0,0,0,0,0,0,0,0,0,0,0
Solyc01g066120.3.1,0,0,0,0,0,0,0,0,0,0,0,0
Solyc05g015460.3.1,0,0,0,7,1,1,9,2,4,3,0,3
