Main,Edit
Solyc06g076750.3,Solyc06g076750
Solyc06g076960.2,Solyc06g076960
Solyc04g076340.3,Solyc04g076340
Solyc01g111980.3,Solyc01g111980
Solyc02g070020.1,Solyc02g070020
Solyc11g018690.2,Solyc11g018690
Solyc11g011760.2,Solyc11g011760
Solyc01g097790.3,Solyc01g097790
Solyc02g092990.1,Solyc02g092990
Solyc11g017010.2,Solyc11g017010
Solyc02g064680.3,Solyc02g064680
Solyc00g011890.3,Solyc00g011890
Solyc10g006540.3,Solyc10g006540
Solyc10g008280.3,Solyc10g008280
Solyc02g077780.3,Solyc02g077780
Solyc10g009340.1,Solyc10g009340
Solyc11g069050.2,Solyc11g069050
Solyc01g100490.3,Solyc01g100490
Solyc11g066020.2,Solyc11g066020
Solyc05g009520.1,Solyc05g009520
Solyc07g055260.3,Solyc07g055260
Solyc09g089880.3,Solyc09g089880
Solyc01g102300.3,Solyc01g102300
Solyc07g032740.3,Solyc07g032740
Solyc05g056480.3,Solyc05g056480
Solyc07g043250.1,Solyc07g043250
Solyc02g014860.3,Solyc02g014860
Solyc05g015610.3,Solyc05g015610
Solyc08g068850.3,Solyc08g068850
Solyc03g114600.3,Solyc03g114600
Solyc12g089160.2,Solyc12g089160
Solyc03g097120.3,Solyc03g097120
Solyc08g075280.3,Solyc08g075280
Solyc08g068690.1,Solyc08g068690
Solyc02g090820.3,Solyc02g090820
Solyc08g075710.3,Solyc08g075710
Solyc06g060110.3,Solyc06g060110
Solyc08g075150.3,Solyc08g075150
Solyc05g052520.3,Solyc05g052520
Solyc01g067710.3,Solyc01g067710
Solyc07g063420.3,Solyc07g063420
Solyc08g067410.2,Solyc08g067410
Solyc02g064770.3,Solyc02g064770
Solyc06g075360.3,Solyc06g075360
Solyc01g005930.3,Solyc01g005930
Solyc03g117890.3,Solyc03g117890
Solyc08g082870.3,Solyc08g082870
Solyc11g072310.2,Solyc11g072310
Solyc01g067000.3,Solyc01g067000
Solyc02g081170.3,Solyc02g081170
Solyc03g007260.3,Solyc03g007260
Solyc09g005120.3,Solyc09g005120
Solyc09g011030.3,Solyc09g011030
Solyc09g010280.3,Solyc09g010280
Solyc01g095140.3,Solyc01g095140
Solyc07g019440.3,Solyc07g019440
Solyc03g082690.3,Solyc03g082690
Solyc12g017230.2,Solyc12g017230
Solyc08g075370.3,Solyc08g075370
Solyc03g096670.3,Solyc03g096670
Solyc03g121880.3,Solyc03g121880
Solyc03g095710.3,Solyc03g095710
Solyc01g106000.3,Solyc01g106000
Solyc02g082900.3,Solyc02g082900
Solyc02g062580.3,Solyc02g062580
Solyc04g005380.3,Solyc04g005380
Solyc02g086860.3,Solyc02g086860
Solyc06g050810.3,Solyc06g050810
Solyc03g116890.3,Solyc03g116890
Solyc03g044790.3,Solyc03g044790
Solyc03g122340.3,Solyc03g122340
Solyc01g105270.3,Solyc01g105270
Solyc01g057000.3,Solyc01g057000
Solyc06g084320.1,Solyc06g084320
Solyc08g067960.3,Solyc08g067960
Solyc07g066560.1,Solyc07g066560
Solyc01g109810.2,Solyc01g109810
Solyc07g042230.1,Solyc07g042230
Solyc07g044990.3,Solyc07g044990
Solyc03g111100.1,Solyc03g111100
Solyc07g007150.1,Solyc07g007150
Solyc04g007900.3,Solyc04g007900
Solyc01g103540.3,Solyc01g103540
Solyc02g086880.3,Solyc02g086880
Solyc08g078070.3,Solyc08g078070
Solyc01g089880.3,Solyc01g089880
Solyc04g005860.3,Solyc04g005860
Solyc05g007220.3,Solyc05g007220
Solyc01g096340.3,Solyc01g096340
Solyc07g006890.1,Solyc07g006890
Solyc02g071750.3,Solyc02g071750
Solyc08g076880.3,Solyc08g076880
Solyc03g033540.3,Solyc03g033540
Solyc05g046310.3,Solyc05g046310
Solyc06g053290.1,Solyc06g053290
Solyc05g013060.3,Solyc05g013060
Solyc02g092090.2,Solyc02g092090
Solyc10g079820.2,Solyc10g079820
Solyc03g083420.3,Solyc03g083420
Solyc11g008800.2,Solyc11g008800
Solyc05g006870.3,Solyc05g006870
Solyc05g050930.2,Solyc05g050930
Solyc12g019740.2,Solyc12g019740
Solyc10g075150.2,Solyc10g075150
Solyc11g072470.2,Solyc11g072470
Solyc03g058970.3,Solyc03g058970
Solyc02g093890.1,Solyc02g093890
Solyc09g005200.3,Solyc09g005200
