From,To
101262296,Solyc03g098730
101246841,Solyc07g042230
101267981,Solyc03g111100
101055585,Solyc01g107170
101267862,Solyc02g069580
544131,Solyc10g081170
101244425,Solyc01g107290
101266537,Solyc07g064900
544010,Solyc08g078070
543701,Solyc06g075690
101261529,Solyc06g076670
101244095,Solyc07g045100
104645408,Solyc01g107090
101267758,Solyc11g005670
101246836,Solyc07g006890
100134896,Solyc08g077210
101247807,Solyc04g009960
101244894,Solyc08g076880
101249309,Solyc10g006130
101246277,Solyc01g079600
101267632,Solyc08g080540
