,Solyc02g084850,Solyc03g116390,Solyc04g081900,Solyc01g087180,Solyc07g063410,Solyc03g007230,Solyc10g081980,Solyc12g098900,Solyc03g019820,Solyc10g078770,Solyc06g068620,Solyc04g005250,Solyc08g075280,Solyc09g075890,Solyc02g081560,Solyc07g017610,Solyc01g096320,Solyc08g083130,Solyc06g067980,Solyc06g050800,Solyc10g080670,Solyc03g111100,condition
GSM4462438,6731.075154,760.5251856,454.606066,130.7419701,185.4314216,334.9728907,209.3580567,244.3934866,152.1050371,781.0337299,120.4876979,25.63568041,82.8887,163.213832,23.07211237,338.3909814,371.717366,291.392234,308.4826876,40.16256598,427.2613402,103.3972443,1
GSM4462439,8625.49106,1313.327128,506.9966548,272.2066911,220.758691,500.4487276,155.2794183,383.5214548,274.0775274,1425.57731,144.9898183,23.38545456,100.0897455,233.8545456,18.70836365,498.5778912,403.1652366,294.6567274,293.7213093,40.22298184,529.4466912,210.469091,1
GSM4462440,9642.106539,1193.955227,528.4573022,277.6640062,239.1493215,469.3417395,219.4441339,336.7795688,255.2717477,1389.215721,137.9363128,26.87071028,89.56903426,206.9044692,27.76640062,431.7227452,518.6047084,352.901995,429.0356741,40.30606542,566.0762966,165.7027134,1
GSM4462441,1.903427098,0.951713549,9.517135491,0.951713549,2.855140647,46.63396391,52.3442452,2.855140647,0.951713549,0,0.951713549,12.37227614,5.710281295,1.903427098,6.661994844,20.93769808,5.710281295,7.613708393,0,0,34.26168777,2.855140647,0
GSM4462442,129.6320755,30.70233366,19.61537984,18.76253724,5.969898212,41.78928748,62.25750992,31.55517626,12.79263903,49.4648709,2.558527805,13.64548163,11.08695382,5.11705561,5.11705561,28.99664846,12.79263903,14.49832423,9.381268619,5.969898212,39.23075968,5.969898212,0
GSM4462443,3.786813545,0.946703386,7.573627091,0.946703386,1.893406773,39.76154223,70.05605059,3.786813545,0.946703386,0.946703386,0.946703386,10.41373725,5.680220318,2.840110159,7.573627091,13.25384741,2.840110159,8.520330477,0,0.946703386,28.40110159,1.893406773,0
GSM4462444,1399.775929,586.4854956,424.9728884,434.1367243,95.07479715,277.2060351,341.3528861,565.8668649,1.145479484,128.2937022,655.2142647,16.03671277,25.20054864,280.6424735,19.47315122,174.1128815,904.9287921,256.5874043,272.6241171,22.90958967,142.039456,144.3304149,1
GSM4462445,2529.859756,673.8927735,621.1106437,375.6123656,85.92439735,315.4652874,662.845351,541.3237033,1.227491391,207.446045,940.2584053,25.77731921,25.77731921,301.9628821,27.0048106,164.4838464,1134.202045,342.470098,386.6597881,29.45979338,100.654294,135.024053,1
GSM4462446,1637.763814,354.8096641,509.8920338,286.6674107,86.94011637,269.0444142,511.0669003,430.0011161,1.174866437,126.8855752,808.3081089,16.44813012,23.49732875,298.4160751,22.32246231,139.8091061,1020.958934,310.1647395,237.3230204,35.24599312,128.0604417,128.0604417,1
GSM4462447,11065.56375,1850.764315,616.9214384,397.6541802,246.2111162,476.6275571,263.8639887,1012.717422,414.3779541,1892.57375,196.968893,38.09304063,97.55534794,194.1815973,31.58935076,432.9599252,634.5743109,393.937786,615.9923399,68.75329284,665.2345631,139.3647828,1
